Nr ,   Dags. ,   Timi    ,lat,lon,dpth,M,  ML
96,20130103,202655.974,66.27409,-18.59069,10.315,1.42,1.67
97,20130103,213049.979,67.26273,-18.69345,10.007,1.74,1.64
98,20130103,232730.689,63.64625,-19.35052,0.136,0.84,1.1
99,20130103,232819.466,63.65622,-19.31907,1.14,0.89,1.18
0,20130104,433.905,63.88955,-19.12062,6.491,0.73,0.82
1,20130104,20033.853,66.28953,-18.63865,15.876,0.86,0.89
2,20130104,60150.29,63.94312,-21.14883,4.997,0.98,1.03
3,20130104,61228.497,66.61713,-17.87906,9.472,1.17,1.49
4,20130104,63602.779,66.60814,-17.93062,9.296,1.8,1.77
5,20130104,75812.641,63.92665,-21.17448,7.191,1.03,1.06
6,20130104,145213.121,63.89396,-19.14083,12.757,1.06,1.14
7,20130104,153243.204,63.90464,-22.34155,7.012,1.4,1.02
8,20130104,160521.414,66.28986,-18.74962,5.851,0.89,1.23
9,20130104,212337.811,66.28758,-18.75997,6.757,0.94,1.25
10,20130104,234229.666,66.29111,-18.76172,10.581,0.89,1.24
11,20130105,1216.684,66.30052,-18.74954,6.958,0.89,1.05
12,20130105,2701.909,66.29758,-18.7646,10.274,0.99,1.12
13,20130105,33028.355,63.6657,-19.31479,0.136,0.84,1.08
14,20130105,33628.656,63.65199,-19.34823,0.136,0.84,0.97
15,20130105,40527.288,66.29697,-18.77996,9.462,1.5,1.65
16,20130105,50444.023,66.3179,-18.77238,8.698,1.2,1.37
17,20130105,52118.621,64.64904,-16.71216,6.877,1.75,1.34
18,20130105,53847.684,63.51997,-19.07557,0.136,0.98,0.78
19,20130105,54823.212,66.52257,-18.09302,8.055,1.56,1.63
20,20130105,65733.612,63.66115,-19.08819,12.393,1.42,1.36
21,20130105,70038.734,63.65306,-19.0682,19.223,0.98,0.87
22,20130105,70041.803,63.59731,-18.99839,26.278,1.03,0.69
23,20130105,71032.056,65.10201,-16.23621,7.852,0.79,0.86
24,20130105,90826.602,63.65936,-19.15026,0.136,0.91,0.42
25,20130105,92719.193,63.7332,-19.26522,10.099,1.4,1.09
26,20130105,93811.475,63.61417,-19.15199,0.136,1.27,1.16
27,20130105,101940.63,64.5042,-17.52456,3.517,1.25,0.9
28,20130105,131047.528,63.67313,-19.29486,0.136,0.95,1.32
29,20130105,161416.888,65.13326,-16.36419,7.039,0.83,1.06
30,20130105,163849.303,66.30299,-18.77311,4.016,1.61,1.76
31,20130105,172845.379,66.58837,-17.74897,0.136,1.62,1.46
32,20130105,172906.635,66.62861,-17.80928,10.033,1.64,1.87
33,20130105,180158.325,66.63793,-17.83915,11.238,2.08,1.71
34,20130105,180218.197,66.63007,-17.82743,10.64,1.97,2.01
35,20130105,180343.595,63.82746,-19.20787,0.136,0.6,0.88
36,20130105,181631.164,65.16268,-16.44009,7.68,1.33,1.31
37,20130105,184130.019,66.24368,-16.69245,9.648,0.94,0.93
38,20130105,211325.845,63.65149,-19.32338,0.136,1.01,1.08
39,20130105,211759.094,64.78163,-17.3449,4.359,1.61,1.37
40,20130105,212139.828,66.30058,-18.78036,7.607,1.28,1.59
41,20130106,23554.668,66.29887,-18.74429,1.145,0.79,1.15
42,20130106,34029.724,63.65269,-19.06461,13.646,1.08,0.73
43,20130106,55108.541,66.23129,-16.71819,3.397,0.22,0.18
44,20130106,60751.211,66.04381,-17.34888,11.919,-0.08,-0.29
45,20130106,90839.431,66.60078,-17.69172,10.907,2,1.87
46,20130106,93052.203,63.96967,-19.21281,1.145,0.84,0.57
47,20130106,150741.61,63.6615,-19.31402,0.136,1.05,1.27
48,20130106,160543.778,63.84061,-19.02225,1.106,0.71,1.09
49,20130106,164122.813,64.69344,-17.33108,6.69,1.23,1.03
50,20130106,181922.042,64.68671,-17.32852,3.973,1.42,1.21
51,20130106,195145.434,64.3702,-20.02538,5.358,0.92,0.94
52,20130106,213214.497,63.66706,-19.34999,0.136,0.65,0.8
